game_ticker,side,entry_price,entry_game_seconds,entry_period,exit_price,exit_game_seconds,exit_type,contracts,gross_pnl,net_pnl,hold_time_sec,max_adverse_excursion,max_favorable_excursion,avg_in_triggered,avg_in_price,effective_cost_basis,would_have_completed_if_held,abs_spread
KXNBAGAME-26APR01ATLORL,dog,0.3979118845448042,862.0,2,0.32152314041130936,967.0,stop_loss,100,-5.087215159014647,-5.887215159014647,105.0,0.32152314041130936,0.4084024869109947,True,0.34687869945810745,0.3723952920014558,False,4.5
KXNBAGAME-26APR01ATLORL,dog,0.3706044027614953,1044.0,2,0.32081982277650156,1070.0,stop_loss,50,-2.4892289992496863,-2.8992289992496865,26.0,0.32081982277650156,0.3706044027614953,False,,0.37060440276149526,False,4.5
KXNBAGAME-26APR01BOSMIA,dog,0.3608219979523182,0.0,1,0.3371765094998348,468.0,stop_loss,50,-1.1822744226241682,-1.592274422624168,468.0,0.3371765094998348,0.4140627678826554,False,,0.3608219979523182,False,4.5
KXNBAGAME-26APR01INDCHI,fav,0.3964758446221642,602.0,1,0.5232852697095436,692.1,round_trip,50,6.340471254368971,5.9104712543689715,90.10000000000002,0.3797808755075765,0.5232852697095436,False,,0.3964758446221641,True,4.5
KXNBAGAME-26APR01INDCHI,fav,0.3996234543212345,939.0,2,0.3247339965397924,985.0,stop_loss,50,-3.744472889072103,-4.154472889072103,46.0,0.3247339965397924,0.3996234543212345,False,,0.3996234543212345,False,4.5
KXNBAGAME-26APR01INDCHI,dog,0.3925103062426383,16.0,1,0.5083023474178404,232.0,round_trip,100,13.729524532416121,12.879524532416122,216.0,0.34950389794472014,0.5083023474178404,True,0.34950389794472014,0.37100710209367915,True,4.5
KXNBAGAME-26APR02MINDET,dog,0.31898482362592273,15.0,1,0.30412611540749557,52.0,stop_loss,50,-0.7429354109213584,-1.1329354109213583,37.0,0.30412611540749557,0.31898482362592273,False,,0.31898482362592273,True,3.5
KXNBAGAME-26APR02MINDET,dog,0.3985109687439332,1072.0,2,0.5007208360626452,1149.0,round_trip,50,5.110493365935596,4.680493365935597,77.0,0.3792087708462013,0.5007208360626452,False,,0.3985109687439332,True,3.5
KXNBAGAME-26APR02MINDET,dog,0.3867248882441754,1400.0,2,0.30931707465594926,1649.0,stop_loss,100,-5.865597821446187,-6.655597821446187,249.0,0.30931707465594926,0.47706717484516437,True,0.3492212174966469,0.3679730528704111,True,3.5
KXNBAGAME-26APR02MINDET,dog,0.38616935869253566,2160.0,4,0.5296837155541546,2315.0,round_trip,50,7.175717843080946,6.745717843080946,155.0,0.3611659082755886,0.5296837155541546,False,,0.38616935869253566,True,3.5
KXNBAGAME-26APR02MINDET,dog,0.3827156283159012,2414.0,4,0.32035741933358586,2446.0,stop_loss,50,-3.1179104491157688,-3.527910449115769,32.0,0.32035741933358586,0.3827156283159012,False,,0.3827156283159012,False,3.5
KXNBAGAME-26APR02PHXCHA,dog,0.34911822854883356,14.0,1,0.3267621360116256,247.0,stop_loss,50,-1.1178046268603943,-1.5178046268603942,233.0,0.3267621360116256,0.4367598566308244,False,,0.34911822854883356,True,5.5
KXNBAGAME-26APR02PHXCHA,dog,0.36076514532508464,1293.0,2,0.3127976228718278,1363.0,stop_loss,100,-4.166512670534985,-4.956512670534985,70.0,0.3127976228718278,0.36076514532508464,True,0.3481603538292707,0.3544627495771776,False,5.5
