game_ticker,side,entry_price,entry_game_seconds,entry_period,first_exit_price,first_exit_game_seconds,partial_qty,remainder_qty,final_exit_price,final_exit_game_seconds,exit_type,contracts,gross_pnl,net_pnl,max_adverse_excursion,max_favorable_excursion,hold_time_sec,abs_spread
KXNBAGAME-26APR01ATLORL,dog,0.3979118845448042,862.0,2,,,0,100,0.32152314041130936,967.0,stopped_out_full,100,-7.638874413349484,-8.448874413349484,0.32152314041130936,0.4084024869109947,105.0,4.5
KXNBAGAME-26APR01ATLORL,dog,0.3706044027614953,1044.0,2,,,0,100,0.32081982277650156,1070.0,stopped_out_full,100,-4.978457998499373,-5.7784579984993725,0.32081982277650156,0.3706044027614953,26.0,4.5
KXNBAGAME-26APR01BOSMIA,dog,0.3608219979523182,0.0,1,,,0,100,0.3371765094998348,468.0,stopped_out_full,100,-2.3645488452483363,-3.1745488452483364,0.3371765094998348,0.4140627678826554,468.0,4.5
KXNBAGAME-26APR01INDCHI,fav,0.3964758446221642,602.0,1,0.5232852697095436,692.1,25,75,0.01,2880.0,held_to_loss,100,-26.675452719477825,-27.095452719477827,0.0099999999999999,0.5391853600944512,2278.0,4.5
KXNBAGAME-26APR01INDCHI,dog,0.3925103062426383,16.0,1,0.5083023474178404,232.0,25,75,0.99,2880.0,held_to_win,100,48.346528061182184,47.92652806118218,0.34950389794472014,0.9900000000000001,2864.0,4.5
KXNBAGAME-26APR02MINDET,dog,0.31898482362592273,15.0,1,,,0,100,0.30412611540749557,52.0,stopped_out_full,100,-1.4858708218427168,-2.255870821842717,0.30412611540749557,0.31898482362592273,37.0,3.5
KXNBAGAME-26APR02MINDET,dog,0.3985109687439332,1072.0,2,0.5007208360626452,1149.0,25,75,0.010000000000000009,2880.0,held_to_loss,100,-27.44307597282719,-27.863075972827193,0.009999999999999565,0.5553375367075488,1808.0,3.5
KXNBAGAME-26APR02PHXCHA,dog,0.34911822854883356,14.0,1,,,0,100,0.3267621360116256,247.0,stopped_out_full,100,-2.2356092537207886,-3.0256092537207886,0.3267621360116256,0.4367598566308244,233.0,5.5
KXNBAGAME-26APR02PHXCHA,dog,0.36076514532508464,1293.0,2,,,0,100,0.3127976228718278,1363.0,stopped_out_full,100,-4.796752245325685,-5.586752245325685,0.3127976228718278,0.36076514532508464,70.0,5.5
KXNBAGAME-26APR02SASLAC,dog,0.39180157439890473,686.7,1,,,0,100,0.3383524369100367,784.0,stopped_out_full,100,-5.344913748886803,-6.1649137488868035,0.3383524369100367,0.41157894736842093,97.29999999999995,3.5
KXNBAGAME-26APR03MINPHI,fav,0.3841810802976133,1211.0,2,,,0,100,0.3206275886738459,1504.0,stopped_out_full,100,-6.35534916237674,-7.16534916237674,0.3206275886738459,0.4620431387132763,293.0,2.5
KXNBAGAME-26APR03MINPHI,dog,0.3915760152470311,0.0,1,,,0,100,0.3317613336350609,233.0,stopped_out_full,100,-5.9814681611970215,-6.791468161197021,0.3317613336350609,0.3915760152470311,233.0,2.5
KXNBAGAME-26APR03MINPHI,dog,0.3858561758595269,509.0,1,,,0,100,0.3305902638275078,581.0,stopped_out_full,100,-5.52659120320191,-6.33659120320191,0.3305902638275078,0.3858561758595269,72.0,2.5
KXNBAGAME-26APR03MINPHI,dog,0.39952945714010235,779.0,2,0.5442568777761857,1115.0,25,75,0.010000000000000009,2880.0,held_to_loss,100,-26.45652376960559,-26.87652376960559,0.010000000000000009,0.6793724113261541,2101.0,2.5
KXNBAGAME-26APR03NOPSAC,fav,0.3048579838315881,2723.0,4,,,0,100,0.333859229580786,2723.0,stopped_out_full,100,2.9001245749197935,2.1301245749197935,0.3048579838315881,0.333859229580786,0.0,5.5
