part,label,mean_pnl,annual_ev,entries,exit,osc_lookback_sec,osc_recent_high,wp_lookback_sec,wp_drop_min,allowed_periods,filter_desc,mean_pnl_simple,mean_pnl_upside,annual_ev_simple,annual_ev_upside,osc,wp,fav,period,fail_rate,std_pnl
1A,osc_600s_$0.50,-1.4866256350682174,-1429.5121811245965,289,simple,600.0,0.5,,,,,,,,,,,,,,
1A,osc_600s_$0.55,-1.117668764378415,-743.7577595681815,200,simple,600.0,0.55,,,,,,,,,,,,,,
1A,osc_900s_$0.45,-1.7734464686200553,-2431.1049081468673,412,simple,900.0,0.45,,,,,,,,,,,,,,
1A,osc_900s_$0.48,-1.4108074085199755,-1675.8083419276093,357,simple,900.0,0.48,,,,,,,,,,,,,,
1A,osc_900s_$0.50,-1.5363914353734531,-1615.3898895413827,316,simple,900.0,0.5,,,,,,,,,,,,,,
1A,osc_900s_$0.55,-1.1476163929348189,-878.2395268841186,230,simple,900.0,0.55,,,,,,,,,,,,,,
1A,osc_1200s_$0.45,-1.701527857850622,-2366.4849446986454,418,simple,1200.0,0.45,,,,,,,,,,,,,,
1A,osc_1200s_$0.48,-1.4174645045261538,-1740.3113744934105,369,simple,1200.0,0.48,,,,,,,,,,,,,,
1A,osc_1200s_$0.50,-1.4403297224800675,-1615.0286239103318,337,simple,1200.0,0.5,,,,,,,,,,,,,,
1A,osc_1200s_$0.55,-1.381452237299557,-1144.5206199459801,249,simple,1200.0,0.55,,,,,,,,,,,,,,
1B,wp_120s_3pp,-0.9965254142812568,-1233.4448018656517,372,simple,,,120.0,0.03,,,,,,,,,,,,
1B,wp_120s_5pp,-1.0224941455282368,-1115.8943380215796,328,simple,,,120.0,0.05,,,,,,,,,,,,
1B,wp_120s_8pp,-1.194242113888127,-989.4187346098233,249,simple,,,120.0,0.08,,,,,,,,,,,,
1B,wp_120s_10pp,-2.2351683663342143,-1390.721757533148,187,simple,,,120.0,0.1,,,,,,,,,,,,
1B,wp_180s_3pp,-1.3252793406602992,-1552.1671637813424,352,simple,,,180.0,0.03,,,,,,,,,,,,
1B,wp_180s_5pp,-1.1108822222418737,-1182.7865988088022,320,simple,,,180.0,0.05,,,,,,,,,,,,
1B,wp_180s_8pp,-1.0369224883134212,-890.1319702405431,258,simple,,,180.0,0.08,,,,,,,,,,,,
1B,wp_180s_10pp,-1.1831243365060486,-854.23728230894,217,simple,,,180.0,0.1,,,,,,,,,,,,
1B,wp_300s_3pp,-1.7896698099525534,-2125.834879163823,357,simple,,,300.0,0.03,,,,,,,,,,,,
1B,wp_300s_5pp,-1.6820075987301175,-1813.2653553437478,324,simple,,,300.0,0.05,,,,,,,,,,,,
1B,wp_300s_8pp,-1.5845391185976438,-1418.220130749204,269,simple,,,300.0,0.08,,,,,,,,,,,,
1B,wp_300s_10pp,-1.4204639197466475,-1101.221110437769,233,simple,,,300.0,0.1,,,,,,,,,,,,
1C,fav_only,-1.9933504855217805,-1399.440769044591,211,simple,,,,,,,,,,,,,,,,
1C,dog_only,-0.8809672303431871,-1131.4502403087645,386,simple,,,,,,,,,,,,,,,,
1D,Q1 only,-1.1788252746577452,-776.6100909445225,198,simple,,,,,[1],,,,,,,,,,,
1D,Q1+Q2,-0.9559856931524079,-1005.1407393384989,316,simple,,,,,"[1, 2]",,,,,,,,,,,
1D,Q1+Q2+Q3,-1.2923624106193314,-1836.1180205128214,427,simple,,,,,"[1, 2, 3]",,,,,,,,,,,
2,Baseline,,,597,,,,,,,None,-1.274121111151702,-0.591552525820894,-2530.891009353356,-852.2551017003966,,,,,,
2,Best oscillation,,,74,,,,,,,osc 120s / $0.55,0.8981902836602963,0.8572005367886786,221.15077856959513,179.6848179752123,,,,,,
2,Best WP momentum,,,372,,,,,,,wp 120s / 3pp,-0.9965254142812568,-0.6427660847332363,-1233.4448018656517,-605.2402320409013,,,,,,
2,Best fav-only,,,211,,,,,,,fav_only=True,-1.9933504855217805,-2.5008645545204153,-1399.440769044591,-1289.7640561631197,,,,,,
2,Best period,,,316,,,,,,,Q1/2,-0.9559856931524079,0.23039294436174237,-1005.1407393384989,212.34270441165603,,,,,,
3,,3.4059838113992993,577.9644893052665,51,upside,,,,,,,,,,,False,True,True,True,78.43137254901961,24.870615973948855
3,,1.7612219047595468,334.02373979176065,57,upside,,,,,,,,,,,True,True,False,False,80.70175438596492,26.695178044884837
3,,1.4338668359287512,725.1716346944389,152,upside,,,,,,,,,,,False,True,False,True,80.92105263157895,23.914412515032314
3,,1.4266578404219001,303.8003023094781,64,simple,,,,,,,,,,,True,True,False,False,70.3125,16.69815759453389
3,,0.8981902836602963,221.15077856959513,74,simple,,,,,,,,,,,True,False,False,False,70.27027027027027,17.059021059030663
3,,0.8572005367886786,179.6848179752123,63,upside,,,,,,,,,,,True,False,False,False,80.95238095238095,26.936916898899543
3,,0.6644009992853319,81.79380302110877,37,simple,,,,,,,,,,,True,False,True,False,70.27027027027027,16.25978330563398
3,,0.23039294436174237,212.34270441165603,277,upside,,,,,,,,,,,False,False,False,True,85.1985559566787,21.404456543237227
3,,-0.591552525820894,-852.2551017003966,433,upside,,,,,,,,,,,False,False,False,False,85.91224018475751,21.319075837355776
3,,-0.5984963047370151,-137.40386981662343,69,upside,,,,,,,,,,,False,False,True,True,84.05797101449275,22.925697981040546
3,,-0.6427660847332363,-605.2402320409013,283,upside,,,,,,,,,,,False,True,False,False,84.45229681978799,22.56666016334413
3,,-0.759835560769021,-139.04990762073086,55,simple,,,,,,,,,,,False,True,True,True,69.0909090909091,8.905770882786088
3,,-0.7768636243658678,-434.2526412273498,168,simple,,,,,,,,,,,False,True,False,True,69.04761904761905,8.68465285740199
3,,-0.9559856931524079,-1005.1407393384989,316,simple,,,,,,,,,,,False,False,False,True,73.73417721518987,8.075364926269707
3,,-0.9965254142812568,-1233.4448018656517,372,simple,,,,,,,,,,,False,True,False,False,72.04301075268818,10.881532772583695
3,,-1.108665915103239,-280.35137358647,76,simple,,,,,,,,,,,False,False,True,True,71.05263157894737,8.684760693127021
3,,-1.1570290558085947,-127.04179032778372,33,simple,,,,,,,,,,,True,True,True,False,75.75757575757575,15.466749921258701
3,,-1.274121111151702,-2530.891009353356,597,simple,,,,,,,,,,,False,False,False,False,74.20435510887772,10.319248213002794
3,,-1.8311860893828358,-188.87852154670594,31,upside,,,,,,,,,,,True,False,True,False,83.87096774193549,25.817012521202678
3,,-1.9647638708702118,-810.6258501415789,124,upside,,,,,,,,,,,False,True,True,False,86.29032258064517,21.62625052868049
3,,-1.9933504855217805,-1399.440769044591,211,simple,,,,,,,,,,,False,False,True,False,74.40758293838863,11.216823018670807
3,,-2.206274180369122,-212.8854013676169,29,upside,,,,,,,,,,,True,True,True,False,86.20689655172414,23.95343091433058
3,,-2.232935485944059,-1151.585728341877,155,simple,,,,,,,,,,,False,True,True,False,75.48387096774194,10.977292380343528
3,,-2.5008645545204153,-1289.7640561631197,155,upside,,,,,,,,,,,False,False,True,False,87.09677419354838,21.325062026895345
3,,,0.0,0,simple,,,,,,,,,,,True,True,True,True,0.0,0.0
3,,,0.0,0,upside,,,,,,,,,,,True,True,True,True,0.0,0.0
3,,,0.0,0,simple,,,,,,,,,,,True,True,False,True,0.0,0.0
3,,,0.0,0,upside,,,,,,,,,,,True,True,False,True,0.0,0.0
3,,,0.0,0,simple,,,,,,,,,,,True,False,True,True,0.0,0.0
3,,,0.0,0,upside,,,,,,,,,,,True,False,True,True,0.0,0.0
3,,,0.0,0,simple,,,,,,,,,,,True,False,False,True,0.0,0.0
3,,,0.0,0,upside,,,,,,,,,,,True,False,False,True,0.0,0.0
