part,label,mean_pnl,annual_ev,entries,exit,osc_lookback_sec,osc_recent_high,wp_lookback_sec,wp_drop_min,allowed_periods,filter_desc,mean_pnl_simple,mean_pnl_upside,annual_ev_simple,annual_ev_upside,osc,wp,fav,period,fail_rate,std_pnl
1A,No filter,-1.274121111151702,-2530.891009353356,597,simple,,,,,,,,,,,,,,,,
1A,osc_120s_$0.45,-1.5315245374333457,-1513.452547891632,297,simple,120.0,0.45,,,,,,,,,,,,,,
1A,osc_120s_$0.48,-1.490449504822233,-912.480285934077,184,simple,120.0,0.48,,,,,,,,,,,,,,
1A,osc_120s_$0.50,-0.6574596210433695,-288.7562655622479,132,simple,120.0,0.5,,,,,,,,,,,,,,
1A,osc_120s_$0.55,0.8981902836602963,221.15077856959513,74,simple,120.0,0.55,,,,,,,,,,,,,,
1A,osc_180s_$0.45,-1.5237934052704478,-1668.0550827475972,329,simple,180.0,0.45,,,,,,,,,,,,,,
1A,osc_180s_$0.48,-1.1294544592522457,-856.8246883243764,228,simple,180.0,0.48,,,,,,,,,,,,,,
1A,osc_180s_$0.50,-0.5328798369206479,-303.18924975923335,171,simple,180.0,0.5,,,,,,,,,,,,,,
1A,osc_180s_$0.55,0.15823969577807173,51.07114254102821,97,simple,180.0,0.55,,,,,,,,,,,,,,
1A,osc_300s_$0.45,-1.854194451250804,-2245.665468849428,364,simple,300.0,0.45,,,,,,,,,,,,,,
1A,osc_300s_$0.48,-1.2531047400883342,-1154.9296796330498,277,simple,300.0,0.48,,,,,,,,,,,,,,
1A,osc_300s_$0.50,-1.2229538755430076,-882.9949336670614,217,simple,300.0,0.5,,,,,,,,,,,,,,
1A,osc_300s_$0.55,-0.6411426362462261,-279.45658943146873,131,simple,300.0,0.55,,,,,,,,,,,,,,
1A,osc_600s_$0.45,-1.8332484538538614,-2427.6875979634933,398,simple,600.0,0.45,,,,,,,,,,,,,,
1A,osc_600s_$0.48,-1.5036672464253502,-1681.0453026945804,336,simple,600.0,0.48,,,,,,,,,,,,,,
