game_ticker,side,entry_price,entry_elapsed,entry_period,exit_type,contracts,net_pnl,gross_pnl,hold_time_sec,max_adverse,max_favorable,first_exit_price,final_price,abs_spread
KXNBAGAME-26APR01INDCHI,fav,0.3964758446221642,602.0,1,resolution_loss,100,-27.095452719477827,-26.675452719477825,2278.0,0.0099999999999999,0.5391853600944512,0.5232852697095436,0.01,4.5
KXNBAGAME-26APR03MINPHI,fav,0.3841810802976133,1211.0,2,stopped_out,100,-7.16534916237674,-6.35534916237674,293.0,0.3206275886738459,0.4620431387132763,,0.3206275886738459,2.5
KXNBAGAME-26APR05LALDAL,fav,0.3912162990196078,556.0,1,stopped_out,100,-7.459240371986117,-6.649240371986117,108.20000000000005,0.3247238952997466,0.3989001671102309,,0.3247238952997466,1.5
KXNBAGAME-26APR06DETORL,fav,0.3992946416699907,194.0,1,stopped_out,100,-7.469815060785128,-6.659815060785128,982.0,0.3326964910621394,0.4951157307155575,,0.3326964910621394,2.5
KXNBAGAME-26APR06NYKATL,fav,0.3861710486551828,932.0,2,resolution_loss,100,-25.954368325218823,-25.53436832521882,1948.0,0.01,0.7813206691851053,0.5277094616119782,0.01,1.5
KXNBAGAME-26APR07MILBKN,fav,0.3667142857142856,1349.0,2,stopped_out,100,-4.206292872054877,-3.406292872054877,235.0,0.3326513569937369,0.3897786799371398,,0.3326513569937369,2.5
KXNBAGAME-26APR08ATLCLE,fav,0.3657535795026375,1351.0,2,resolution_win,100,50.85748670672834,51.267486706728334,1529.0,0.3445287410275968,0.99,0.5181137862796833,0.99,1.5
KXNBAGAME-26APR09LALGSW,fav,0.3729194580914098,173.0,1,stopped_out,100,-4.617517956862971,-3.8175179568629716,207.0,0.3347442785227801,0.4246290742380003,,0.3347442785227801,4.5
KXNBAGAME-26APR09LALGSW,fav,0.3795872374798061,1040.0,2,stopped_out,100,-5.065623443488029,-4.245623443488029,170.0,0.3371310030449259,0.4359404240406518,,0.3371310030449259,4.5
KXNBAGAME-26APR10PHXLAL,fav,0.3581247194221116,345.0,1,stopped_out,100,-3.072922716249463,-2.262922716249463,59.0,0.335495492259617,0.4031311729391259,,0.335495492259617,2.5
KXNBAGAME-26APR12PHXOKC,fav,0.3503926539736857,385.0,1,stopped_out,100,-1.8938856126795782,-1.0938856126795784,20.0,0.3394537978468899,0.3503926539736857,,0.3394537978468899,5.5
KXNBAGAME-26APR14PORPHX,fav,0.3909167031462212,1015.0,2,stopped_out,100,-6.097543920570082,-5.277543920570082,69.0,0.3381412639405204,0.3909167031462212,,0.3381412639405204,3.5
KXNBAGAME-26FEB20DENPOR,fav,0.3654953264876251,337.0,1,stopped_out,100,-6.112086631203398,-5.322086631203398,64.0,0.3122744601755912,0.3832244452873127,,0.3122744601755912,1.0
KXNBAGAME-26FEB20INDWAS,fav,0.3480936361087748,948.0,2,stopped_out,100,-5.98587371789294,-5.21587371789294,24.0,0.2959348989298454,0.3480936361087748,,0.2959348989298454,1.0
KXNBAGAME-26FEB20MILNOP,fav,0.3863014087170274,1365.0,2,resolution_loss,100,-26.453351834248686,-26.033351834248684,1515.0,0.01,0.5273104218362283,0.5082715614981624,0.01,4.0
KXNBAGAME-26FEB20UTAMEM,fav,0.3921815239776405,736.0,2,stopped_out,100,-6.252770057248632,-5.432770057248632,250.0,0.3378538234051542,0.4394249414911401,,0.3378538234051542,2.5
KXNBAGAME-26FEB21ORLPHX,fav,0.3928972998192103,765.0,2,resolution_win,100,48.4805785671458,48.9005785671458,2715.0,0.146337812580562,0.9900000000000002,0.532012341962673,0.9900000000000002,3.5
KXNBAGAME-26FEB23SACMEM,fav,0.3948855079145536,903.0,2,resolution_loss,100,-27.423712610382026,-27.003712610382024,1977.0,0.01,0.5536942165994717,0.5037935272429334,0.01,3.0
KXNBAGAME-26FEB24GSWNOP,fav,0.3821656476881925,456.0,1,stopped_out,100,-7.818625636300683,-7.018625636300683,24.0,0.3119793913251857,0.3821656476881925,,0.3119793913251857,1.0
KXNBAGAME-26FEB26HOUORL,fav,0.3897226512658652,1020.0,2,stopped_out,100,-11.572138813944052,-10.792138813944053,75.0,0.2818012631264247,0.4137384498007855,,0.2818012631264247,2.5
KXNBAGAME-26MAR01MEMIND,fav,0.3940670894526035,1252.0,2,stopped_out,100,-7.6716474918679625,-6.861647491867963,110.0,0.3254506145339238,0.4272738017480016,,0.3254506145339238,1.0
KXNBAGAME-26MAR01MINDEN,fav,0.3878847135075501,1438.4,2,stopped_out,100,-8.4535300061066,-7.6535300061066,23.59999999999991,0.3113494134464841,0.3878847135075501,,0.3113494134464841,3.0
KXNBAGAME-26MAR02LACGSW,fav,0.3987808122575889,556.0,1,stopped_out,100,-10.41900658226772,-9.62900658226772,115.29999999999995,0.3024907464349117,0.3987808122575889,,0.3024907464349117,1.0
KXNBAGAME-26MAR03DETCLE,fav,0.3456894717165616,1082.0,2,stopped_out,100,-2.16313711579025,-1.37313711579025,28.0,0.3319581005586591,0.3456894717165616,,0.3319581005586591,2.5
KXNBAGAME-26MAR03NYKTOR,fav,0.3929773546062789,467.0,1,resolution_win,100,48.01871000403544,48.43871000403544,2413.0,0.3901188412973508,0.9900000000000002,0.5138578185865331,0.99,2.5
KXNBAGAME-26MAR05UTAWAS,fav,0.3965791004699037,687.0,1,stopped_out,100,-7.98174287164331,-7.1717428716433105,32.89999999999998,0.3248616717534705,0.3965791004699037,,0.3248616717534705,2.5
KXNBAGAME-26MAR05UTAWAS,fav,0.3970016626639571,940.0,2,stopped_out,100,-8.237524663380134,-7.427524663380133,73.0,0.3227264160301558,0.3970016626639571,,0.3227264160301558,2.5
KXNBAGAME-26MAR06NYKDEN,fav,0.3983833601933925,167.0,1,resolution_win,100,47.22490391158381,47.64490391158381,2713.0,0.3420227757464961,0.9900000000000004,0.5037295972369227,0.99,1.5
KXNBAGAME-26MAR07LACMEM,fav,0.376758601605018,655.0,1,resolution_win,100,49.889736455102735,50.30973645510274,2225.0,0.3506265056153088,0.9900000000000004,0.5238238646241814,0.9900000000000004,5.5
