game_ticker,side,entry_price,entry_elapsed,entry_period,exit_type,contracts,net_pnl,gross_pnl,hold_time_sec,max_adverse,max_favorable,first_exit_price,final_price,abs_spread
KXNBAGAME-26MAR08CHISAC,fav,0.3939938989622534,1001.0,2,stopped_out,100,-6.743317775248205,-5.933317775248206,88.0,0.3346607212097713,0.3939938989622534,,0.3346607212097713,2.5
KXNBAGAME-26MAR09NYKLAC,fav,0.396543093922652,1215.0,2,stopped_out,100,-6.534090023340738,-5.714090023340738,77.0,0.3394021936892447,0.396543093922652,,0.3394021936892447,2.5
KXNBAGAME-26MAR10CHAPOR,fav,0.3942164244440553,621.0,1,stopped_out,100,-6.333026069718379,-5.513026069718379,65.29999999999995,0.3390861637468715,0.4050091165257748,,0.3390861637468715,2.5
KXNBAGAME-26MAR10INDSAC,fav,0.3857959317227463,1073.0,2,stopped_out,100,-6.876413792755156,-6.0664137927551565,156.0,0.3251317937951947,0.400734422697073,,0.3251317937951947,3.5
KXNBAGAME-26MAR13PHXTOR,fav,0.3969167347545124,1161.0,2,resolution_win,100,47.88532240932242,48.30532240932242,1719.0,0.1606937674740826,0.9900000000000004,0.5242798353909466,0.99,4.5
KXNBAGAME-26MAR14DENLAL,fav,0.3764229944229945,516.0,1,stopped_out,100,-5.096849010378439,-4.28684901037844,220.0,0.3335545043192101,0.3974228430566968,,0.3335545043192101,2.5
KXNBAGAME-26MAR14ORLMIA,fav,0.3844721467950301,674.1,1,stopped_out,100,-5.571512509027237,-4.751512509027236,87.89999999999998,0.3369570217047578,0.4099772353167793,,0.3369570217047578,3.5
KXNBAGAME-26MAR16LALHOU,fav,0.3989455757663599,471.0,1,resolution_loss,100,-27.871235428984985,-27.451235428984983,2409.0,0.01,0.7438553910936658,0.5021328859060402,0.01,2.5
KXNBAGAME-26MAR17PHXMIN,fav,0.3984782164041726,269.0,1,resolution_win,100,47.438273570690704,47.858273570690706,2611.0,0.3938360393322662,0.9900000000000002,0.5126438084443184,0.99,3.5
KXNBAGAME-26MAR18LACNOP,fav,0.3819698437689234,238.0,1,stopped_out,100,-7.177179872004966,-6.377179872004966,46.0,0.3181980450488737,0.3819698437689234,,0.3181980450488737,2.5
KXNBAGAME-26MAR18LALHOU,fav,0.3960068358138778,649.0,1,stopped_out,100,-10.699269213595109,-9.90926921359511,230.0,0.2969141436779267,0.4185985220402046,,0.2969141436779267,2.5
KXNBAGAME-26MAR20PORMIN,fav,0.3855450840550178,506.0,1,stopped_out,100,-6.47882380130481,-5.668823801304811,403.0,0.3288568460419697,0.4682309005548442,,0.3288568460419697,2.5
KXNBAGAME-26MAR21MIAHOU,fav,0.3827629278041469,402.0,1,resolution_win,100,49.63816955055761,50.058169550557615,2478.0,0.1345839114348479,0.99,0.5377784932388925,0.99,1.5
KXNBAGAME-26MAR23GSWDAL,fav,0.3824226321769935,842.0,2,resolution_win,100,49.37636446726485,49.79636446726485,2338.0,0.2416840314692749,0.9900000000000002,0.525945107398568,0.99,1.5
KXNBAGAME-26MAR23LALDET,fav,0.3552807088744588,1226.0,2,stopped_out,100,-4.204373466639235,-3.4043734666392353,85.0,0.3212369742080664,0.3570487695923242,,0.3212369742080664,1.5
KXNBAGAME-26MAR25ATLDET,fav,0.3925946553707771,681.8,1,stopped_out,100,-6.24482933743851,-5.42482933743851,382.20000000000005,0.338346361996392,0.4384350082665382,,0.338346361996392,2.5
KXNBAGAME-26MAR25WASUTA,fav,0.398912237330037,530.0,1,stopped_out,100,-7.589126757247645,-6.779126757247646,79.0,0.3311209697575605,0.398912237330037,,0.3311209697575605,4.5
KXNBAGAME-26MAR27ATLBOS,fav,0.3700500619659513,460.0,1,resolution_win,100,50.08198063384681,50.49198063384681,2420.0,0.3634431342715861,0.99,0.5042794732176775,0.99,5.5
KXNBAGAME-26MAR28DETMIN,fav,0.3809863296773167,386.0,1,stopped_out,100,-5.246265350384505,-4.426265350384504,226.0,0.3367236761734717,0.4179683471784589,,0.3367236761734717,2.5
KXNBAGAME-26MAR29BOSCHA,fav,0.3964278678248411,156.0,1,resolution_win,100,48.13952719064758,48.55952719064758,2724.0,0.3871774156529722,0.9900000000000004,0.5324925589252676,0.99,1.5
KXNBAGAME-26MAR30PHIMIA,fav,0.3797570518501179,535.0,1,stopped_out,100,-4.876254616926325,-4.056254616926324,42.0,0.3391945056808547,0.3797570518501179,,0.3391945056808547,2.5
KXNBAGAME-26MAR31PORLAC,fav,0.397764144774799,1064.0,2,stopped_out,100,-9.140151866541565,-8.340151866541564,61.0,0.3143626261093833,0.397764144774799,,0.3143626261093833,5.5
