game_ticker,side,entry_price,entry_time,entry_game_seconds,entry_period,outcome,exit_price,resolution_value,hold_time_sec,gross_pnl,net_pnl,max_adverse_excursion,max_favorable_excursion,mae_pct,came_close,exit_period,abs_spread
KXNBAGAME-26APR01ATLORL,dog,0.3979118845448042,2026-04-01 23:45:30+00:00,862.0,2,held_loss,0.010000000000000009,0.0,2018.0,-39.79118845448042,-40.21118845448042,0.009999999999999565,0.4084024869109947,0.9748688079235452,False,4,4.5
KXNBAGAME-26APR01BOSMIA,dog,0.3608219979523182,2026-04-01 23:43:00+00:00,0.0,1,held_loss,0.010000000000000009,0.0,2880.0,-36.082199795231816,-36.49219979523181,0.010000000000000009,0.4140627678826554,0.9722855034982609,False,4,4.5
KXNBAGAME-26APR01INDCHI,fav,0.3964758446221642,2026-04-02 00:33:00+00:00,602.0,1,completed,0.5232852697095436,0.5232852697095436,90.10000000000002,12.68094250873794,11.820942508737941,0.3797808755075765,0.5232852697095436,0.04210841427300002,True,1,4.5
KXNBAGAME-26APR01INDCHI,fav,0.3996234543212345,2026-04-02 00:45:30+00:00,939.0,2,held_loss,0.01,0.0,1941.0,-39.96234543212345,-40.38234543212345,0.0099999999999999,0.3996234543212345,0.9749764437200389,False,4,4.5
KXNBAGAME-26APR01INDCHI,dog,0.3925103062426383,2026-04-02 00:11:00+00:00,16.0,1,completed,0.5083023474178404,0.5083023474178404,216.0,11.579204117520215,10.719204117520215,0.34950389794472014,0.5083023474178404,0.1095675899815299,True,1,4.5
KXNBAGAME-26APR02MINDET,dog,0.31898482362592273,2026-04-02 23:13:30+00:00,15.0,1,completed,0.5007208360626452,0.5007208360626452,1134.0,18.173601243672245,17.343601243672243,0.2622828599120256,0.5007208360626452,0.17775755933891135,True,2,3.5
KXNBAGAME-26APR02MINDET,dog,0.3867248882441754,2026-04-03 00:09:30+00:00,1400.0,2,completed,0.5296837155541546,0.5296837155541546,915.0,14.295882730997922,13.435882730997923,0.26613097284290144,0.5296837155541546,0.31183386191873896,True,4,3.5
KXNBAGAME-26APR02MINDET,dog,0.3827156283159012,2026-04-03 01:11:00+00:00,2414.0,4,held_loss,0.010000000000000009,0.0,466.0,-38.271562831590124,-38.691562831590126,0.009999999999999565,0.3827156283159012,0.973870938994565,False,4,3.5
KXNBAGAME-26APR02PHXCHA,dog,0.34911822854883356,2026-04-02 23:11:00+00:00,14.0,1,completed,0.5172952662341833,0.5172952662341833,609.0,16.817703768534976,15.977703768534978,0.32629590207557224,0.5172952662341833,0.06537134015638776,True,1,5.5
KXNBAGAME-26APR02PHXCHA,dog,0.36076514532508464,2026-04-02 23:57:30+00:00,1293.0,2,held_loss,0.010000000000000009,0.0,1587.0,-36.07651453250846,-36.48651453250846,0.009999999999999787,0.36076514532508464,0.9722811359978004,False,4,5.5
