stop_loss,sell_pct,trail_dist,entries,mean_pnl,median_pnl,std_pnl,win_rate,annual_ev,sharpe,max_loss,max_win
,1.0,0.05,425,-4.21653909104454,11.287232844657673,25.832423238434583,61.64705882352941,-5962.569596472528,-0.16322661842931532,-40.38940928270042,47.94310594260088
,1.0,0.1,425,-4.21653909104454,11.287232844657673,25.832423238434583,61.64705882352941,-5962.569596472528,-0.16322661842931532,-40.38940928270042,47.94310594260088
,1.0,0.15,425,-4.21653909104454,11.287232844657673,25.832423238434583,61.64705882352941,-5962.569596472528,-0.16322661842931532,-40.38940928270042,47.94310594260088
,1.0,,425,-4.21653909104454,11.287232844657673,25.832423238434583,61.64705882352941,-5962.569596472528,-0.16322661842931532,-40.38940928270042,47.94310594260088
,0.75,0.05,406,-3.8163539728150506,10.646785698325779,25.87643974376522,62.315270935960584,-5155.408499494775,-0.1474837346484104,-40.38940928270042,51.3145732215064
,0.75,0.1,396,-3.565753137239289,9.878922476853276,26.04522488559523,62.62626262626263,-4698.236333626487,-0.13690621420632815,-40.38940928270042,51.3145732215064
,0.75,0.15,372,-3.1144038637980103,9.70101901357901,26.50762767532517,62.903225806451616,-3854.8392260347878,-0.11749085591303507,-40.38940928270042,51.3145732215064
,0.75,,249,-4.783359045920925,-0.4665639399448907,27.401378821516886,48.59437751004016,-3962.9694844632504,-0.1745663631409964,-40.38940928270042,51.3145732215064
,0.5,0.05,406,-3.702355641580258,8.966347990946947,26.408380663012974,61.822660098522164,-5001.411262875092,-0.1401962387934562,-40.38940928270042,54.686040500411906
,0.5,0.1,396,-3.3608976638000074,7.502506710397032,26.955032842399127,62.121212121212125,-4428.318761822889,-0.12468534850061312,-40.38940928270042,54.686040500411906
,0.5,0.15,372,-2.6273365579460033,5.975688014536386,28.06915883809533,61.82795698924731,-3251.9738821587653,-0.09360225481285868,-40.38940928270042,54.686040500411906
,0.5,,249,-4.4183687077862235,-13.041588974082353,32.40088958694179,33.734939759036145,-3660.5783074126334,-0.1363656604529437,-40.38940928270042,54.686040500411906
,0.25,0.05,406,-3.5880371133011315,7.3881056908450216,27.20142974618861,61.330049261083744,-4846.981480800863,-0.13190619562208408,-40.38940928270042,61.518245955855285
,0.25,0.1,396,-3.1552341095526466,4.837352313169857,28.31365321993619,60.35353535353535,-4157.336462746567,-0.11143860825882354,-40.38940928270042,61.518245955855285
,0.25,0.15,372,-2.139758499405826,2.125556341430749,30.28512928362933,55.91397849462365,-2648.4763564645637,-0.07065376803798144,-40.38940928270042,61.518245955855285
,0.25,,249,-4.0533382090089525,-25.954368325218823,39.22180823877327,33.734939759036145,-3358.1538576347443,-0.10334399129007948,-40.38940928270042,61.22454332595627
0.3,1.0,0.05,544,-1.651477442157381,-7.700542961285129,12.659802710162527,34.92647058823529,-2989.2342240300286,-0.13045048804999737,-28.630982531449355,47.94310594260088
0.3,1.0,0.1,544,-1.651477442157381,-7.700542961285129,12.659802710162527,34.92647058823529,-2989.2342240300286,-0.13045048804999737,-28.630982531449355,47.94310594260088
0.3,1.0,0.15,544,-1.651477442157381,-7.700542961285129,12.659802710162527,34.92647058823529,-2989.2342240300286,-0.13045048804999737,-28.630982531449355,47.94310594260088
0.3,1.0,,544,-1.651477442157381,-7.700542961285129,12.659802710162527,34.92647058823529,-2989.2342240300286,-0.13045048804999737,-28.630982531449355,47.94310594260088
0.3,0.75,0.05,532,-1.541366456652998,-7.639359203890307,12.826834207831496,35.526315789473685,-2728.386777343805,-0.12016733292708408,-28.630982531449355,51.3145732215064
0.3,0.75,0.1,517,-1.378021954385408,-7.6316996191190105,13.08932792782108,35.97678916827853,-2370.473365933779,-0.10527828181739206,-28.630982531449355,51.3145732215064
0.3,0.75,0.15,491,-1.3033243858743337,-7.621151808136101,13.28639959309169,36.04887983706721,-2129.229200799391,-0.09809462501428919,-28.630982531449355,51.3145732215064
0.3,0.75,,368,-1.737670851502594,-7.601344273156665,13.887710282864159,26.902173913043477,-2127.66737861074,-0.12512291919328708,-22.217396893609383,51.3145732215064
0.3,0.5,0.05,532,-1.4884532511696522,-7.650490688275666,13.381164033756628,35.150375939849624,-2634.7246312885936,-0.11123496038272418,-28.630982531449355,54.686040500411906
0.3,0.5,0.1,517,-1.2845585830522521,-7.647018788661604,14.0685203629882,35.5899419729207,-2209.697674566484,-0.09130729813148648,-28.630982531449355,54.686040500411906
